month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2022-11,Alabama,15442,210,22068,19922,1190,1545,0,12,9,1,2281,1177,14,35,0,0,0,0,26,16,6,0,0,0,63954
2022-11,Alaska,292,5,3182,2890,332,265,0,1,0,0,83,52,1,14,12,0,0,0,0,1,19,0,0,0,7149
2022-11,Arizona,8007,1816,18816,9664,1513,1271,0,8,2,0,1141,434,5,178,23,0,0,0,9,7,0,0,1,0,42895
2022-11,Arkansas,2325,308,7994,10304,439,598,6,7,8,0,990,1154,2,0,0,0,0,0,11,9,3,0,2,0,24160
2022-11,California,24117,11341,37386,25634,4888,0,0,0,1,0,693,367,26,1112,540,83,0,0,6830,2815,535,20,5,1,116394
2022-11,Colorado,6598,35,20088,13493,1551,1819,2,0,0,0,0,0,0,293,52,1,0,0,0,0,0,0,0,0,43932
2022-11,Connecticut,6441,717,5660,2132,1120,0,1,0,0,0,0,0,0,0,0,0,0,0,458,142,61,0,0,0,16732
2022-11,Delaware,257,0,1961,1570,76,89,0,0,0,0,17,5,0,64,0,0,0,0,71,11,0,1,0,0,4122
2022-11,District of Columbia,1440,0,455,26,2,3,2,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,1941
2022-11,Florida,16592,0,61475,28064,4766,3565,0,7,6,1,3552,966,8,1158,78,6,0,0,285,192,38,50,30,0,120839
2022-11,Georgia,13585,0,20201,14036,866,1126,2,19,10,0,1913,864,12,58,0,0,0,0,12,4,1,0,0,0,52709
2022-11,Guam,0,0,196,83,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307
2022-11,Hawaii,1418,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1419
2022-11,Idaho,5323,63,6776,6569,598,413,0,4,1,0,314,240,1,55,19,2,0,0,8,13,3,0,1,0,20403
2022-11,Illinois,412201,0,24875,14612,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453252
2022-11,Indiana,315,33138,23698,18044,1642,1416,2,0,3,1,805,366,12,44,5,0,0,0,21,26,4,1,1,0,79544
2022-11,Iowa,4379,3676,3589,5081,176,138,7,0,0,0,24,29,0,55,10,1,0,0,3,0,0,0,0,0,17168
2022-11,Kansas,1105,261,7501,7768,581,554,0,4,1,0,482,238,3,82,17,1,0,0,3,7,2,0,0,0,18610
2022-11,Kentucky,551,304887,12229,13521,606,883,8,11,3,0,1506,1170,0,20,4,0,0,0,15,17,1,0,3,0,335435
2022-11,Louisiana,1488,349,12512,12952,758,818,3,9,3,0,844,601,12,0,0,0,0,0,17,8,0,0,0,0,30374
2022-11,Maine,393,4,3761,4894,306,264,3,0,0,0,70,52,0,24,9,1,0,0,5,7,0,0,0,0,9793
2022-11,Mariana Islands,0,0,12,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2022-11,Maryland,19965,20,12154,7431,121,6,0,0,1,0,94,110,3,128,21,2,0,0,8,21,2,0,0,0,40087
2022-11,Massachusetts,9344,0,5791,3340,1389,286,0,0,0,1,15,12,0,1,0,0,0,0,25,22,8,1,1,0,20236
2022-11,Michigan,15295,6307,22446,23562,1754,1080,1,0,2,1,14,283,2,65,11,0,0,0,18,10,0,1,0,0,70852
2022-11,Minnesota,11861,31909,11045,13156,956,581,0,0,1,0,151,177,2,88,17,2,0,0,23,29,0,0,1,0,69999
2022-11,Mississippi,2455,0,9829,11939,416,550,0,6,4,3,1540,1070,2,16,2,0,0,0,5,4,0,1,1,0,27843
2022-11,Missouri,702,56,21737,21503,1800,1590,3,4,7,1,1336,816,15,367,33,5,0,0,26,32,6,1,2,1,50043
2022-11,Montana,801,2,4283,5028,311,298,24,1,4,0,342,402,1,35,8,0,0,0,7,4,0,1,0,0,11552
2022-11,Nebraska,3957,121,263,2702,25,15,0,0,0,0,2,24,0,26,5,0,0,0,0,0,0,0,0,0,7140
2022-11,Nevada,2283,0,5324,2480,363,380,0,0,0,0,231,62,1,0,0,0,0,0,362,87,25,0,0,0,11598
2022-11,New Hampshire,723,3,6358,3753,323,0,21,0,6,0,0,2,0,133,10,1,0,0,0,0,0,0,0,0,11333
2022-11,New Jersey,0,0,8346,3945,924,0,0,0,0,0,0,0,0,0,0,0,0,0,63,31,7,1,0,0,13317
