,Result,Wind,P.A.,P.R.,Athlete,Birth,Nat.,Race,Pl.,Venue,Date,R.S.,Rec.
0,9.69,-0.1,1.,1.0,Yohan BLAKE,89,JAM,F,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",23.08.2012,1316,
1,9.69,4.8,1.,1.0,Andre DE GRASSE,94,CAN,F,1.0,"Olympiastadion, Stockholm (SWE)",18.06.2017,1288,
2,9.72,2.1,3.,3.0,Asafa POWELL,82,JAM,F,1.0,"Bislett Stadion, Oslo (NOR)",04.06.2010,1293,
3,9.74,0.9,4.,4.0,Justin GATLIN,82,USA,F,1.0,"Suhaim bin Hamad Stadium, Doha (QAT)",15.05.2015,1298,
4,9.74,2.9,-,4.0,Andre DE GRASSE,94,CAN,F,1.0,"Hayward Field, Eugene, OR (USA)",21.08.2021,1281,
5,9.75,2.6,-,6.0,Asafa POWELL,82,JAM,H2,1.0,"Suhaim bin Hamad Stadium, Doha (QAT)",14.05.2010,1279,
6,9.75,0.9,-,6.0,Justin GATLIN,82,USA,F1,1.0,"Stadio Olimpico, Roma (ITA)",04.06.2015,1294,
7,9.75,1.4,-,6.0,Justin GATLIN,82,USA,F,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",09.07.2015,1294,
8,9.76,1.3,5.,9.0,Usain BOLT,86,JAM,F,1.0,"Boudewijnstadion, Bruxelles (BEL)",16.09.2011,1291,
9,9.76,-0.1,-,9.0,Usain BOLT,86,JAM,F,1.0,"Stadio Olimpico, Roma (ITA)",31.05.2012,1291,
10,9.76,1.4,-,9.0,Yohan BLAKE,89,JAM,F,1.0,"Letzigrund, ZÃ¼rich (SUI)",30.08.2012,1291,
11,9.76,2.7,-,9.0,Justin GATLIN,82,USA,F,1.0,"Hayward Field, Eugene, OR (USA)",31.05.2014,1275,
12,9.77,0.6,-,13.0,Justin GATLIN,82,USA,F,1.0,"Boudewijnstadion, Bruxelles (BEL)",05.09.2014,1287,
13,9.78,-0.4,6.,14.0,Tyson GAY,82,USA,F,1.0,"Crystal Palace, London (GBR)",13.08.2010,1285,
14,9.78,1.0,-,14.0,Asafa POWELL,82,JAM,F,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06.2011,1283,
15,9.78,-0.3,-,14.0,Justin GATLIN,82,USA,F,1.0,"Stade Louis II, Monaco (MON)",17.07.2015,1284,
16,9.78,2.4,6.,14.0,Ronnie BAKER,93,USA,F,1.0,"Hayward Field, Eugene, OR (USA)",26.05.2018,1269,
