Carrier,Date,Flight #,Tail #,Destination,Departure Delay Minutes
UA,1/8/2019,714,N810UA,ORD,32
UA,1/9/2019,714,N4888U,ORD,-2
UA,1/10/2019,714,N816UA,ORD,0
UA,1/11/2019,714,N4888U,ORD,28
UA,1/12/2019,714,N897UA,ORD,-1
UA,1/13/2019,714,N832UA,ORD,4
UA,1/14/2019,714,N837UA,ORD,0
UA,1/15/2019,714,N820UA,ORD,-3
UA,1/16/2019,714,N852UA,ORD,-4
UA,1/17/2019,714,N807UA,ORD,-11
UA,1/18/2019,714,N823UA,ORD,-4
UA,1/19/2019,714,N493UA,ORD,5
UA,1/20/2019,714,,ORD,0
UA,1/21/2019,714,N845UA,ORD,221
UA,1/22/2019,714,N832UA,ORD,1
UA,1/23/2019,714,N816UA,ORD,4
UA,1/24/2019,714,N820UA,ORD,-8
UA,1/25/2019,714,N451UA,ORD,88
UA,1/26/2019,714,N825UA,ORD,-7
UA,1/27/2019,714,N834UA,ORD,-5
UA,1/28/2019,714,N819UA,ORD,304
UA,1/29/2019,714,N497UA,ORD,-5
UA,1/30/2019,714,,ORD,0
UA,1/31/2019,714,,ORD,0
UA,2/1/2019,714,N809UA,ORD,-2
UA,2/2/2019,714,N850UA,ORD,6
UA,2/3/2019,714,N834UA,ORD,-4
UA,2/4/2019,714,N834UA,ORD,-1
UA,2/5/2019,714,N806UA,ORD,-4
UA,2/6/2019,714,N813UA,ORD,18
UA,2/7/2019,714,N834UA,ORD,-4
UA,2/8/2019,714,N899UA,ORD,-8
UA,2/9/2019,714,N813UA,ORD,8
UA,2/10/2019,714,N801UA,ORD,8
UA,2/11/2019,714,N801UA,ORD,-3
UA,2/12/2019,714,N801UA,ORD,-7
UA,2/13/2019,714,N841UA,ORD,261
UA,2/14/2019,285,N804UA,ORD,-5
UA,2/14/2019,714,N820UA,ORD,4
UA,2/15/2019,714,N848UA,ORD,-5
UA,2/16/2019,714,N429UA,ORD,22
UA,2/17/2019,714,N447UA,ORD,-8
UA,2/18/2019,714,,ORD,0
UA,2/19/2019,714,N825UA,ORD,-4
UA,2/20/2019,714,N809UA,ORD,31
UA,2/21/2019,714,N826UA,ORD,-2
UA,2/22/2019,714,N803UA,ORD,-7
UA,2/23/2019,714,N836UA,ORD,0
UA,2/24/2019,714,N831UA,ORD,-5
UA,2/25/2019,714,N448UA,ORD,67
UA,2/26/2019,714,N814UA,ORD,200
UA,2/27/2019,714,N838UA,ORD,-4
UA,2/28/2019,714,N827UA,ORD,-1
UA,3/1/2019,714,N805UA,ORD,-3
UA,3/2/2019,714,N803UA,ORD,1
UA,3/3/2019,714,N805UA,ORD,-5
UA,3/3/2019,1410,N24706,ORD,-9
UA,3/4/2019,714,N467UA,ORD,-2
UA,3/5/2019,714,N843UA,ORD,-7
UA,3/6/2019,714,N843UA,ORD,15
UA,3/7/2019,714,N895UA,ORD,6
UA,3/8/2019,714,N848UA,ORD,2
UA,3/9/2019,971,N27722,ORD,35
UA,3/10/2019,714,N24702,ORD,-4
UA,3/11/2019,714,N27722,ORD,20
UA,3/12/2019,714,N16703,ORD,-7
UA,3/13/2019,714,N825UA,ORD,-6
UA,3/14/2019,714,N38727,ORD,5
UA,3/15/2019,714,N27724,ORD,-2
UA,3/16/2019,971,N15710,ORD,-3
UA,3/17/2019,714,N16703,ORD,-7
UA,3/18/2019,714,N16701,ORD,-7
UA,3/19/2019,714,N15710,ORD,-6
UA,3/20/2019,714,N889UA,ORD,-10
UA,3/21/2019,714,N16732,ORD,-10
UA,3/22/2019,714,N38727,ORD,-4
UA,3/23/2019,971,N17719,ORD,0
UA,3/24/2019,714,N23721,ORD,-10
UA,3/25/2019,714,N23721,ORD,-9
UA,3/26/2019,714,N38727,ORD,-10
UA,3/27/2019,714,N853UA,ORD,-7
UA,3/28/2019,714,N13718,ORD,-4
UA,3/29/2019,714,N25705,ORD,-8
UA,3/30/2019,971,N39728,ORD,-6
UA,3/31/2019,2086,N454UA,ORD,57
UA,4/1/2019,2086,N38727,ORD,-2
UA,4/2/2019,2086,N17752,ORD,-10
UA,4/3/2019,2086,N459UA,ORD,-9
